Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-20 18:42:28,USA,100MB_file,rsync_ssh_reno,3.76
2025-08-20 18:42:52,USA,10MB_file,rsync_hop,2.78
2025-08-20 18:43:04,USA,10MB_file,rsync_ssh_reno,1.2
2025-08-20 18:46:49,USA,1GB_file,rsync_hop,4.97
2025-08-20 18:48:48,USA,1GB_file,rsync_ssh_reno,9.0
2025-08-20 18:49:55,Europe,100MB_file,rsync_hop,2.23
2025-08-20 18:51:00,Europe,100MB_file,rsync_ssh_reno,1.73
2025-08-20 18:51:25,Europe,10MB_file,rsync_hop,4.05
2025-08-20 18:51:47,Europe,10MB_file,rsync_ssh_reno,1.36
2025-08-20 18:59:08,USA,100MB_file,rsync_hop,6.56
2025-08-20 18:59:37,USA,100MB_file,rsync_ssh_reno,3.79
2025-08-20 19:00:00,USA,10MB_file,rsync_hop,5.03
2025-08-20 19:00:11,USA,10MB_file,rsync_ssh_reno,1.24
2025-08-20 19:04:08,USA,1GB_file,rsync_hop,4.72
2025-08-20 19:06:22,USA,1GB_file,rsync_ssh_reno,7.93
2025-08-20 19:07:29,Europe,100MB_file,rsync_hop,2.33
2025-08-20 19:08:31,Europe,100MB_file,rsync_ssh_reno,1.77
2025-08-20 19:08:56,Europe,10MB_file,rsync_hop,4.88
2025-08-20 19:09:18,Europe,10MB_file,rsync_ssh_reno,1.35
2025-08-20 19:17:23,USA,100MB_file,rsync_hop,4.68
2025-08-20 19:17:53,USA,100MB_file,rsync_ssh_reno,3.75
2025-08-20 19:18:19,USA,10MB_file,rsync_hop,2.01
2025-08-20 19:18:30,USA,10MB_file,rsync_ssh_reno,1.23
2025-08-20 19:22:34,USA,1GB_file,rsync_hop,4.58
2025-08-20 19:24:10,USA,1GB_file,rsync_ssh_reno,11.23
2025-08-20 19:25:17,Europe,100MB_file,rsync_hop,2.32
2025-08-20 19:26:18,Europe,100MB_file,rsync_ssh_reno,1.8
2025-08-20 19:26:47,Europe,10MB_file,rsync_hop,1.97
2025-08-20 19:27:09,Europe,10MB_file,rsync_ssh_reno,1.32
2025-08-20 19:35:54,Europe,1GB_file,rsync_ssh_reno,4.75
2025-08-20 19:37:24,Asia,100MB_file,rsync_hop,1.52
2025-08-20 19:38:42,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 19:39:09,Asia,10MB_file,rsync_hop,3.52
2025-08-20 19:39:37,Asia,10MB_file,rsync_ssh_reno,1.85
2025-08-20 19:44:27,Asia,1GB_file,rsync_hop,3.85
2025-08-20 19:48:48,Asia,1GB_file,rsync_ssh_reno,4.03
